Bari, SOM: 2347008
Limburg, NLD: 2346377
Overijssel, NLD: 2346380
Troms, NOR: 2346401
Svalbard, SJM: 23424953
Flevoland, NLD: 2346384
Zeeland, NLD: 2346382
Piemonte, ITA: 7153341
Valle d'Aosta, ITA: 7153348
FAILED: Diekirch, LUX
FAILED: Grevenmacher, LUX
FAILED: Luxembourg, LUX
Lombardia, ITA: 7153338
Mre og Romsdal, NOR: 2346391
Sr-Trndelag, NOR: 2346399
Aust-Agder, NOR: 2346386
Hordaland, NOR: 2346390
Rogaland, NOR: 2346397
Sogn og Fjordane, NOR: 2346398
Vest-Agder, NOR: 2346402
Akershus, NOR: 2346385
Buskerud, NOR: 2346387
Hedmark, NOR: 2346389
Oppland, NOR: 2346394
FAILED: Oslo, NOR
Telemark, NOR: 2346400
Vestfold, NOR: 2346403
stfold, NOR: 2346396
Nord-Trndelag, NOR: 2346393
FAILED: Cankova, SVN
FAILED: Gornja Radgona, SVN
FAILED: Gornji Petrovci, SVN
FAILED: Gornji Petrovci, SVN
FAILED: Radenci, SVN
FAILED: Rogaovci, SVN
FAILED: Kurzeme, LVA
FAILED: Liepaja, LVA
FAILED: Ventspils, LVA
Klaipedos, LTU: 55848085
FAILED: Teliai, LTU
FAILED: Borovnica, SVN
FAILED: Breice, SVN
FAILED: Krsko, SVN
FAILED: Brezovica, SVN
FAILED: Celje, SVN
FAILED: Cerklje na Gorenjskem, SVN
FAILED: Cerknica, SVN
FAILED: Crna na Korokem, SVN
FAILED: Crnomelj, SVN
FAILED: Dol pri Ljubljani, SVN
FAILED: Dravograd, SVN
Duplek, SVN: 55848367
FAILED: Gornji Grad, SVN
FAILED: Grosuplje, SVN
FAILED: Hrastnik, SVN
FAILED: Trbovlje, SVN
FAILED: Ig, SVN
FAILED: Ilirska Bistrica, SVN
FAILED: Ivancna Gorica, SVN
FAILED: Kidricevo, SVN
FAILED: Kozje, SVN
FAILED: Spodnjeposavska, SVN
Kungota, SVN: 55848374
Lako, SVN: 2347577
FAILED: Litija, SVN
FAILED: Osrednjeslovenska, SVN
FAILED: Ljubno, SVN
FAILED: Logatec, SVN
FAILED: Loki Potok, SVN
FAILED: Lukovica, SVN
FAILED: Medvode, SVN
FAILED: Menge, SVN
FAILED: Metlika, SVN
Meica, SVN: 2347578
FAILED: Mislinja, SVN
FAILED: Moravce, SVN
FAILED: Mozirje, SVN
FAILED: Muta, SVN
FAILED: Nazarje, SVN
FAILED: Pesnica, SVN
Notranjsko-kraka, SVN: 24549807
FAILED: Postojna, SVN
Race-Fram, SVN: 55848367
FAILED: Radece, SVN
FAILED: Radlje ob Dravi, SVN
Rogaka Slatina, SVN: 55848390
FAILED: Rogatec, SVN
FAILED: Semic, SVN
FAILED: encur, SVN
FAILED: entilj, SVN
FAILED: entjernej, SVN
FAILED: Sevnica, SVN
FAILED: kocjan, SVN
FAILED: kofljica, SVN
Koroka, SVN: 2346183
FAILED: Slovenske Konjice, SVN
FAILED: marje pri Jelah, SVN
FAILED: martno ob Paki, SVN
FAILED: otanj, SVN
FAILED: Podravska, SVN
FAILED: tore, SVN
FAILED: Trbovlje, SVN
FAILED: Trebnje, SVN
Velike Lace, SVN: 2347577
FAILED: Velenje, SVN
FAILED: Vitanje, SVN
FAILED: Vodice, SVN
FAILED: Vrhnika, SVN
FAILED: Vuzenica, SVN
Zasavska, SVN: 55848364
FAILED: Zrece, SVN
FAILED: Bled, SVN
Bohinj, SVN: 55848379
FAILED: Cerkno, SVN
Gorenja Vas-Poljane, SVN: 55848386
FAILED: Idrija, SVN
FAILED: Kranj, SVN
FAILED: Kranjska Gora, SVN
FAILED: Naklo, SVN
Gorenjska, SVN: 55848346
FAILED: kofja Loka, SVN
FAILED: Tolmin, SVN
Tric, SVN: 7153347
FAILED: elezniki, SVN
FAILED: iri, SVN
FAILED: Ajdovcina, SVN
FAILED: Bovec, SVN
Brda, SVN: 55848371
FAILED: Divaca, SVN
Hrpelje-Kozina, SVN: 55848385
FAILED: Izola, SVN
FAILED: Kanal, SVN
FAILED: Kobarid, SVN
FAILED: Komen, SVN
FAILED: Koper, SVN
Miren-Kostanjevica, SVN: 55848371
FAILED: Piran, SVN
Seana, SVN: 55848375
FAILED: Vipava, SVN
Friuli-Venezia Giulia, ITA: 7153335
Trentino-Alto Adige, ITA: 7153346
Veneto, ITA: 7153349
FAILED: Beltinci, SVN
FAILED: Dornava, SVN
FAILED: Gorinica, SVN
FAILED: Dornava, SVN
FAILED: Kobilje, SVN
FAILED: Moravske Toplice, SVN
FAILED: Pomurska, SVN
FAILED: Odranci, SVN
Ormo, SVN: 2347059
FAILED: Sveti Jurij, SVN
Turnice, SVN: 7153333
FAILED: Zavrc, SVN
Bratislavsk, SVK: 20070505
Banskobystrick, SVK: 20070495
FAILED: ilinský, SVK
Nitriansky, SVK: 20070492
Trenciansky, SVK: 20070493
FAILED: Trnavský, SVK
FAILED: Koický, SVK
FAILED: Preov, SVK
Juno-Backi, SRB: 2347100
FAILED: Juno-Banatski, SRB
FAILED: Srednje-Banatski, SRB
Finnmark, NOR: 2346388
FAILED: Balvi, LVA
FAILED: Kraslava, LVA
FAILED: Ludza, LVA
FAILED: Latgale, LVA
Alytaus, LTU: 55848082
FAILED: Saldus, LVA
Kauno, LTU: 55848084
Marijampoles, LTU: 55848078
Panevezio, LTU: 55848086
FAILED: iauliai, LTU
Taurages, LTU: 55848087
Utenos, LTU: 55848081
Vilniaus, LTU: 55848083
FAILED: Aluksne, LVA
FAILED: Valga, LVA
FAILED: Zemgale, LVA
FAILED: Bauska, LVA
FAILED: Vidzeme, LVA
FAILED: Daugavpils, LVA
FAILED: Dobele, LVA
FAILED: Gulbene, LVA
FAILED: Jelgava, LVA
FAILED: Jekabpils, LVA
FAILED: Limbai, LVA
FAILED: Madona, LVA
FAILED: Ogre, LVA
FAILED: Preili, LVA
Riga, LVA: 20070121
FAILED: Talsi, LVA
FAILED: Tukums, LVA
FAILED: Valmiera, LVA
Riga, LVA: 20070121
FAILED: Gorkha, NPL
FAILED: Najran, SAU
FAILED: Ar Riyad, SAU
Ash Sharqiyah, SAU: 2346954
FAILED: Ad Dawhah, QAT
Ar Rayyan, QAT: 20070010
Al Wakrah, QAT: 20070012
Jariyan al Batnah, QAT: 20070011
Al Ghuwayriyah, QAT: 20070004
FAILED: Al Jumayliyah, QAT
Al Khawr, QAT: 20070006
FAILED: Madinat ach Shamal, QAT
Umm Salal, QAT: 20070007
Baluchistan, PAK: 2346496
Azad Kashmir, PAK: 2346500
FAILED: F.C.T., PAK
Northern Areas, PAK: 2346501
FAILED: F.A.T.A., PAK
Punjab, PAK: 2346498
FAILED: Sind, PAK
FAILED: Bishkek, KGZ
Chuy, KGZ: 20070195
FAILED: Ysyk-Köl, KGZ
FAILED: Naryn, KGZ
FAILED: Batken, KGZ
FAILED: Jalal-Abad, KGZ
FAILED: Talas, KGZ
FAILED: Osh, KGZ
N.W.F.P., PAK: 2346497
FAILED: Banke, NPL
Dhawalagiri, NPL: 20070026
Karnali, NPL: 20070018
Lumbini, NPL: 20070026
Mahakali, NPL: 20070030
FAILED: Achham, NPL
FAILED: Bhaktapur, NPL
Janakpur, NPL: 20070029
Narayani, NPL: 20070029
Sagarmatha, NPL: 20070023
FAILED: Bhojpur, NPL
Mechi, NPL: 20070023
Aceh, IDN: 2345710
Perak, MYS: 2346302
Pulau Pinang, MYS: 2346304
Pulau Pinang, MYS: 2346304
Kedah, MYS: 2346297
Perlis, MYS: 2346303
Perlis, MYS: 2346303
Johor, MYS: 2346296
Kelantan, MYS: 2346298
Melaka, MYS: 2346299
Negeri Sembilan, MYS: 2346300
Pahang, MYS: 2346301
Selangor, MYS: 2346306
FAILED: Trengganu, MYS
Gansu, CHN: 12578005
Qinghai, CHN: 12577996
Guangxi, CHN: 12578006
Guizhou, CHN: 12578007
Chongqing, CHN: 20070171
Beijing, CHN: 12578011
Kaohsiung, TWN: 20070334
FAILED: Kaohsiung City, TWN
FAILED: Pingtung, TWN
Tainan, TWN: 20070335
FAILED: Tainan City, TWN
FAILED: Hsinchu city, TWN
Hsinchu, TWN: 20070335
FAILED: Ilan, TWN
FAILED: Keelung City, TWN
FAILED: Miaoli, TWN
Taipei, TWN: 20070333
FAILED: Taipei City, TWN
Taoyuan, TWN: 20070335
FAILED: Changhwa, TWN
Chiayi, TWN: 20070335
FAILED: Chiayi city, TWN
FAILED: Hualien, TWN
FAILED: None, TWN
Taichung, TWN: 20070335
FAILED: Taichung City, TWN
Yunlin, TWN: 20070335
FAILED: Taitung, TWN
Fujian, CHN: 12577997
Anhui, CHN: 12578022
Guangdong, CHN: 12578019
Belait, BRN: 20069849
Brunei and Muara, BRN: 20069846
Temburong, BRN: 20069847
Tutong, BRN: 20069848
Kalimantan Timur, IDN: 2345723
Sabah, MYS: 2346310
Sarawak, MYS: 2346305
Northern Cape, ZAF: 2346985
Western Cape, ZAF: 2346987
FAILED: Tete, MOZ
Ghanzi, BWA: 2344743
FAILED: Manica, MOZ
Coast, KEN: 2345938
FAILED: Chitipa, MWI
Central, KEN: 2345937
FAILED: Nairobi, KEN
Nyanza, KEN: 2345942
Cabo Delgado, MOZ: 2346311
Niassa, MOZ: 2346317
FAILED: Nampula, MOZ
North West, ZAF: 2346984
Berea, LSO: 20069865
Maseru, LSO: 20069870
Mohale's Hoek, LSO: 20069868
FAILED: Quthing, LSO
Orange Free State, ZAF: 2346980
Gaza, MOZ: 2346312
Gauteng, ZAF: 2346981
Mpumalanga, ZAF: 2346983
Limpopo, ZAF: 2346986
Butha-Buthe, LSO: 20069862
FAILED: Leribe, LSO
Mokhotlong, LSO: 20069861
Qacha's Nek, LSO: 20069866
Thaba-Tseka, LSO: 20069864
KwaZulu-Natal, ZAF: 2346982
Antananarivo, MDG: 2346150
FAILED: Antsiranana, MDG
FAILED: Fianarantsoa, MDG
FAILED: Mahajanga, MDG
FAILED: Toamasina, MDG
FAILED: Toliary, MDG
Jawa Barat, IDN: 2345715
Jawa Tengah, IDN: 2345716
Bengkulu, IDN: 2345712
Banten, IDN: 28350158
Jakarta Raya, IDN: 2345713
Kalimantan Barat, IDN: 2345720
Lampung, IDN: 2345724
Sumatera Selatan, IDN: 2345734
Bangka-Belitung, IDN: 28350154
Bali, IDN: 2345711
Jawa Timur, IDN: 2345717
Kalimantan Selatan, IDN: 2345721
Nusa Tenggara Timur, IDN: 2345727
Sulawesi Selatan, IDN: 2345729
Sulawesi Barat, IDN: 28350155
Enga, PNG: 2346599
East Sepik, PNG: 2346591
FAILED: Madang, PNG
Sandaun, PNG: 2346598
Chimbu, PNG: 2346588
Eastern Highlands, PNG: 2346589
Gulf, PNG: 2346582
North Solomons, PNG: 2346587
Southern Highlands, PNG: 2346585
Western Highlands, PNG: 2346596
Western, PNG: 2346586
Central, PNG: 2346581
East New Britain, PNG: 2346590
Manus, PNG: 2346593
Milne Bay, PNG: 2346583
FAILED: Morobe, PNG
National Capital District, PNG: 2346600
New Ireland, PNG: 2346595
Northern, PNG: 2346584
West New Britain, PNG: 2346597
FAILED: Îles Loyauté, NCL
Sud, NCL: 24549807
Malaita, SLB: 2344836
Rennell and Bellona, SLB: 2344838
Central, SLB: 2344838
Guadalcanal, SLB: 2344839
Isabel, SLB: 2344840
Rhne-Alpes, FRA: 7153329
Azuay, ECU: 2345203
El Oro, ECU: 2345209
FAILED: Loja, ECU
Zamora Chinchipe, ECU: 2345221
FAILED: Galápagos, ECU
Santa Cruz, ARG: 2344694
Tierra del Fuego, ARG: 2344697
FAILED: San Juan, ARG
Chubut, ARG: 2344678
FAILED: Mendoza, ARG
Neuqun, ARG: 2344689
Bolivar, ECU: 2345215
FAILED: Cañar, ECU
Cotopaxi, ECU: 2345208
Guayas, ECU: 2345211
Los Rios, ECU: 2345214
Manabi, ECU: 2345215
Amazonas, COL: 2345047
Chimborazo, ECU: 2345207
Morona Santiago, ECU: 2345216
Orellana, ECU: 20070099
Pichincha, ECU: 2345219
Pastaza, ECU: 2345218
Napo, ECU: 2345217
Tungurahua, ECU: 2345220
Cochabamba, BOL: 2344802
Chuquisaca, BOL: 2344801
El Beni, BOL: 2344803
FAILED: Goiás, BRA
Ciudad de Buenos Aires, ARG: 2344681
La Pampa, ARG: 2344685
Ro Negro, ARG: 2347651
FAILED: San Luis, ARG
FAILED: Córdoba, ARG
FAILED: Catamarca, ARG
Jujuy, ARG: 2344684
FAILED: La Rioja, ARG
FAILED: Salta, ARG
FAILED: Santiago del Estero, ARG
FAILED: Tucumán, ARG
Chaco, ARG: 2344677
FAILED: Formosa, ARG
FAILED: Corrientes, ARG
FAILED: Entre Ríos, ARG
FAILED: Santa Fe, ARG
FAILED: São Paulo, BRA
Misiones, ARG: 2344688
Pernambuco, BRA: 2344860
FAILED: Antioquia, COL
FAILED: Boyacá, COL
FAILED: Córdoba, COL
Santander, COL: 2345071
La Guajira, COL: 2345062
FAILED: Cienfuegos, CUB
Isla de la Juventud, CUB: 2345109
FAILED: Pinar del Río, CUB
FAILED: Sancti Spíritus, CUB
FAILED: Belize, BLZ
FAILED: Cayo, BLZ
FAILED: Corozal, BLZ
FAILED: Orange Walk, BLZ
Cartago, CRI: 2345083
Heredia, CRI: 2345085
Limn, CRI: 2345086
Puntarenas, CRI: 2345087
FAILED: San José, CRI
Chiriqu, PAN: 2346552
FAILED: Alajuela, CRI
Guanacaste, CRI: 2345084
FAILED: Esmeraldas, ECU
Cocl, PAN: 2346553
Coln, PAN: 2346554
Herrera, PAN: 2346556
FAILED: Los Santos, PAN
FAILED: Panama, PAN
Veraguas, PAN: 2346560
San Andrs y Providencia, COL: 2345070
FAILED: Ahuachapán, SLV
Cabaas, SLV: 2345293
Cuscatln, SLV: 2345295
FAILED: La Libertad, SLV
La Paz, SLV: 2345297
FAILED: Sonsonate, SLV
FAILED: San Salvador, SLV
FAILED: La Unión, SLV
Morazn, SLV: 2345299
FAILED: San Miguel, SLV
FAILED: San Vicente, SLV
FAILED: Usulután, SLV
FAILED: Stann Creek, BLZ
Toledo, BLZ: 2344799
FAILED: Chalatenango, SLV
FAILED: Santa Ana, SLV
FAILED: Grand'Anse, HTI
FAILED: Nippes, HTI
Nord-Ouest, HTI: 2345614
Sud, HTI: 2345621
FAILED: Ciego de Ávila, CUB
FAILED: Camagüey, CUB
FAILED: Guantánamo, CUB
Granma, CUB: 2345113
FAILED: Holguín, CUB
FAILED: Las Tunas, CUB
FAILED: Santiago de Cuba, CUB
Clarendon, JAM: 2345912
Hanover, JAM: 2345913
Manchester, JAM: 2345914
Saint Elizabeth, JAM: 2345919
Saint James, JAM: 2345920
Trelawny, JAM: 2345923
Westmoreland, JAM: 2345924
FAILED: Kingston, JAM
Portland, JAM: 2345915
Saint Ann, JAM: 2345917
Saint Catherine, JAM: 2345918
Saint Mary, JAM: 2345921
Saint Andrew, JAM: 2345916
Saint Thomas, JAM: 2345922
L'Artibonite, HTI: 2345615
Centre, HTI: 2345616
Nord-Est, HTI: 2345619
Nord, HTI: 2345618
Ouest, HTI: 2345620
Sud-Est, HTI: 2345622
FAILED: Santiago, DOM
FAILED: Santiago Rodríguez, DOM
FAILED: Valverde, DOM
FAILED: San Juan, DOM
Santo Domingo, DOM: 28358196
FAILED: Sánchez Ramírez, DOM
FAILED: San Pedro de Macorís, DOM
Caldas, COL: 2345053
Cundinamarca, COL: 2345078
FAILED: Bogota, COL
Quindo, COL: 2346271
Risaralda, COL: 2345069
Tolima, COL: 2345073
Caquet, COL: 2346271
Cauca, COL: 2345055
Huila, COL: 2345061
FAILED: Nariño, COL
Putumayo, COL: 2345067
Valle del Cauca, COL: 2345074
Carchi, ECU: 2345206
Imbabura, ECU: 2345212
Sucumbios, ECU: 2345222
Atlntico, COL: 2346271
FAILED: Bolívar, COL
Cesar, COL: 2345056
Choc, COL: 2346271
Magdalena, COL: 2345063
FAILED: Sucre, COL
Darin, PAN: 2346555
Kuna Yala, PAN: 2346559
FAILED: Arauca, COL
Norte de Santander, COL: 2345066
Casanare, COL: 2345077
FAILED: Guaviare, COL
Guaina, COL: 2346271
Meta, COL: 2345064
Vaups, COL: 2345075
Vichada, COL: 2345076
Ciudad de la Habana, CUB: 2345107
La Habana, CUB: 2345115
FAILED: Matanzas, CUB
Villa Clara, CUB: 2345120
Saint Andrew, DMA: 2345161
Saint David, DMA: 2345162
Saint George, DMA: 2345163
Saint John, DMA: 2345164
FAILED: Saint Joseph, DMA
Saint Luke, DMA: 2345166
Saint Mark, DMA: 2345167
Saint Patrick, DMA: 2345168
Saint Paul, DMA: 2345169
Saint Peter, DMA: 2345170
Martinique, FRA: 7153330
FAILED: Eysturoyar, FRO
Waterford, IRL: 2345271
FAILED: Tanger - Tétouan, MAR
FAILED: Fès - Boulemane, MAR
FAILED: Taza - Al Hoceima - Taounate, MAR
FAILED: Gharb - Chrarda - Béni Hssen, MAR
FAILED: Chaouia - Ouardigha, MAR
FAILED: Grand Casablanca, MAR
FAILED: Rabat - Salé - Zemmour - Zaer, MAR
FAILED: Meknès - Tafilalet, MAR
FAILED: Tadla - Azilal, MAR
FAILED: Oriental, MAR
FAILED: Souss - Massa - Draâ, MAR
FAILED: Marrakech - Tensift - Al Haouz, MAR
FAILED: Doukkala - Abda, MAR
FAILED: River Gee, LBR
FAILED: Gbapolu, LBR
Bangui, CAF: 2345105
FAILED: Équateur, COD
Extrme-Nord, CMR: 2345040
Bet, TCD: 2344947
Hadjer-Lamis, TCD: 56013481
Kanem, TCD: 2344950
Lac, TCD: 2344951
FAILED: Annobón, GNQ
Centro Sur, GNQ: 20069850
Ki-Ntem, GNQ: 2345457
Litoral, GNQ: 20069853
Wele-Nzs, GNQ: 20069852
Batha, TCD: 2344945
FAILED: Wadi Fira, TCD
Gura, TCD: 2344949
FAILED: Ouaddaï, TCD
Littoral, CMR: 2345034
Nord-Ouest, CMR: 2345035
Bioko Norte, GNQ: 20069855
Bioko Sur, GNQ: 20069856
Centre, CMR: 2345039
Est, CMR: 2345033
Adamaoua, CMR: 2345038
Nord, CMR: 2345041
Logone Occidental, TCD: 2344952
Logone Oriental, TCD: 2344953
Mayo-Kebbi Est, TCD: 56013483
FAILED: Tandjilé, TCD
Mandoul, TCD: 56013482
Salamat, TCD: 2344957
Dubrovacko-Neretvanska, HRV: 12577973
FAILED: ibensko-Kninska, HRV
Splitsko-Dalmatinska, HRV: 12577985
Zadarska, HRV: 12577989
Durrs, ALB: 29389556
Fier, ALB: 29389558
Bar, MNE: 29389244
FAILED: Ulcinj, MNE
Shkodr, ALB: 29389563
Budva, MNE: 29389243
FAILED: Cetinje, MNE
Roaje, MNE: 2344865
FAILED: Kukës, ALB
FAILED: Plav, MNE
Vlor, ALB: 29389565
FAILED: Zlatiborski, SRB
FAILED: Herceg Novi, MNE
Kotor, MNE: 29389240
Andrijevica, MNE: 29389233
FAILED: Berane, MNE
FAILED: Bijelo Polje, MNE
Danilovgrad, MNE: 29389236
FAILED: Kolain, MNE
FAILED: Mojkovac, MNE
FAILED: Nikic, MNE
FAILED: Pluine, MNE
FAILED: Pljevlja, MNE
FAILED: Podgorica, MNE
FAILED: Tivat, MNE
FAILED: avnik, MNE
FAILED: abljak, MNE
FAILED: Korçë, ALB
FAILED: Gnjilane, KO-
Berat, ALB: 29389554
Elbasan, ALB: 29389557
FAILED: Gjirokastër, ALB
Dibr, ALB: 2344915
FAILED: Prizren, KO-
FAILED: Lezhë, ALB
Durrs, ALB: 29389556
Al Gharbiyah, EGY: 2345227
FAILED: Al Isma`iliyah, EGY
Al Minufiyah, EGY: 2345231
FAILED: Al Qahirah, EGY
FAILED: Al Qalyubiyah, EGY
FAILED: Ash Sharqiyah, EGY
FAILED: As Suways, EGY
Ad Daqahliyah, EGY: 2345223
FAILED: Bur Sa`id, EGY
FAILED: Dumyat, EGY
FAILED: Matruh, EGY
Al Buhayrah, EGY: 2345225
FAILED: Al Fayyum, EGY
FAILED: Al Iskandariyah, EGY
FAILED: Al Jizah, EGY
FAILED: Al Minya, EGY
FAILED: Bani Suwayf, EGY
FAILED: Kafr ash Shaykh, EGY
FAILED: Aswan, EGY
FAILED: Asyut, EGY
FAILED: Al Wadi at Jadid, EGY
FAILED: Qina, EGY
FAILED: Suhaj, EGY
Aragatsotn, ARM: 20070209
Armavir, ARM: 20070210
Shirak, ARM: 20070203
Al Bahr al Ahmar, EGY: 2345224
Janub Sina', EGY: 2345247
Shamal Sina', EGY: 2345248
Orientale, COD: 2344985
Gash Barka, ERI: 24549681
Anseba, ERI: 24549684
Debub, ERI: 24549683
FAILED: Semenawi Keyih Bahri, ERI
Maekel, ERI: 24549682
Debubawi Keyih Bahri, ERI: 2345312
FAILED: Ali Sabieh, DJI
FAILED: Djibouti, DJI
FAILED: Arta, DJI
FAILED: Dikhil, DJI
FAILED: Obock, DJI
FAILED: Tadjourah, DJI
Nordrhein-Westfalen, DEU: 2345487
Baden-Wrttemberg, DEU: 2345481
Hessen, DEU: 2345485
Bremen, DEU: 2345483
Niedersachsen, DEU: 2345486
Thringen, DEU: 2345495
Hamburg, DEU: 2345484
Schleswig-Holstein, DEU: 2345490
Rheinland-Pfalz, DEU: 2345488
Saarland, DEU: 2345489
Krapinsko-Zagorska, HRV: 12577977
Karlovacka, HRV: 12577975
Licko-Senjska, HRV: 12577978
Primorsko-Goranska, HRV: 12577982
Primorsko-Goranska, HRV: 12577982
Sisacko-Moslavacka, HRV: 12577984
Zagrebacka, HRV: 12577990
Grad Zagreb, HRV: 20070170
Karlovarsk, CZE: 20070500
Bayern, DEU: 2345482
Istarska, HRV: 12577974
FAILED: Jihoceský, CZE
FAILED: Kraj Vysocina, CZE
FAILED: Prague, CZE
FAILED: Stredoceský, CZE
Libereck, CZE: 20070498
Krlovhradeck, CZE: 20070466
FAILED: Berlin, DEU
Sachsen-Anhalt, DEU: 2345494
Sachsen, DEU: 2345493
Brodsko-Posavska, HRV: 12577972
Osjecko-Baranjska, HRV: 12577980
Brodsko-Posavska, HRV: 12577972
Vukovarsko-Srijemska, HRV: 12577988
Viroviticko-Podravska, HRV: 12577987
Bjelovarska-Bilogorska, HRV: 12577989
FAILED: Koprivnicko-Krievacka, HRV
Medimurska, HRV: 12577979
FAILED: Varadinska, HRV
Grad Zagreb, HRV: 20070170
Moravskoslezsk, CZE: 20070471
Briceni, MDA: 55948180
Donduseni, MDA: 55948186
Edinet, MDA: 20069871
Ocnita, MDA: 55948195
Rscani, MDA: 55948197
Balti, MDA: 20069873
Drochia, MDA: 55948187
Falesti, MDA: 55948188
Glodeni, MDA: 55948190
FAILED: Sîngerei, MDA
Ungheni, MDA: 20069874
Cahul, MDA: 20069882
Taraclia, MDA: 55948203
Gagauzia, MDA: 20069881
Chisinau, MDA: 20069878
Dubasari, MDA: 20069876
Anenii Noi, MDA: 55948205
Basarabeasca, MDA: 55948179
Cantemir, MDA: 55948182
Calarasi, MDA: 55948181
Cimislia, MDA: 55948184
Criuleni, MDA: 55948185
Floresti, MDA: 55948189
FAILED: Cainari, MDA
FAILED: Grigoriopol, MDA
Transnistria, MDA: 20069876
Hncesti, MDA: 55948191
Ialoveni, MDA: 55948192
Leova, MDA: 55948193
Nisporeni, MDA: 55948194
Orhei, MDA: 20069875
Rezina, MDA: 55948196
Rezina, MDA: 55948196
Soldanesti, MDA: 55948199
Straseni, MDA: 55948202
Telenesti, MDA: 55948204
Causeni, MDA: 55948183
FAILED: Bender, MDA
Stefan Voda, MDA: 55948200
FAILED: Camenca, MDA
Soroca, MDA: 20069872
Harju, EST: 2345276
Ida-Viru, EST: 2345278
Jrva, EST: 2345279
Jgeva, EST: 2345280
Lne-Viru, EST: 2345282
FAILED: Tartu, EST
Hiiu, EST: 2345277
Lne, EST: 2345281
Xizang, CHN: 12578004
Al Asimah, KWT: 20070169
FAILED: Al Farwaniyah, KWT
Al Ahmadi, KWT: 20070166
Mubarak Al-Kabeer, KWT: 55943079
Al Jahrah, KWT: 20070165
Qazax, AZE: 20070267
Qazax, AZE: 20070267
Tavush, ARM: 20070202
Ararat, ARM: 20070211
Gegharkunik, ARM: 20070204
Kotayk, ARM: 20070208
FAILED: Lori, ARM
FAILED: Erevan, ARM
FAILED: Agstafa, AZE
FAILED: Dask?s?n, AZE
FAILED: G?d?b?y, AZE
G?nc?, AZE: 2347592
FAILED: Xanlar, AZE
FAILED: Goranboy, AZE
FAILED: K?lb?c?r, AZE
FAILED: Ming?çevir, AZE
Qazax, AZE: 20070267
FAILED: S?mkir, AZE
Samux, AZE: 20070269
FAILED: Tovuz, AZE
Yevlax, AZE: 20070252
FAILED: Baki, AZE
Abseron, AZE: 20070283
FAILED: Agdam, AZE
FAILED: Agdas, AZE
FAILED: Agsu, AZE
FAILED: ?li Bayramli, AZE
FAILED: Astara, AZE
FAILED: B?rd?, AZE
FAILED: Beyl?qan, AZE
FAILED: Bil?suvar, AZE
FAILED: C?brayil, AZE
FAILED: C?lilabad, AZE
FAILED: D?v?çi, AZE
FAILED: Füzuli, AZE
FAILED: Göyçay, AZE
FAILED: Imisli, AZE
FAILED: Ismayilli, AZE
FAILED: Kürd?mir, AZE
FAILED: Astara, AZE
FAILED: Masalli, AZE
FAILED: Lerik, AZE
FAILED: Neftçala, AZE
Qobustan, AZE: 20070272
FAILED: Siy?z?n, AZE
FAILED: Saatli, AZE
FAILED: Sabirabad, AZE
FAILED: Salyan, AZE
FAILED: Samaxi, AZE
FAILED: Sumqayit, AZE
FAILED: Ucar, AZE
FAILED: Xizi, AZE
FAILED: Yardimli, AZE
FAILED: Z?rdab, AZE
FAILED: Agcab?di, AZE
FAILED: Balak?n, AZE
FAILED: Q?b?l?, AZE
FAILED: Oguz, AZE
FAILED: Qax, AZE
FAILED: S?ki, AZE
FAILED: Quba, AZE
FAILED: Qusar, AZE
FAILED: Xaçmaz, AZE
FAILED: Zaqatala, AZE
Syunik, ARM: 20070206
Vayots Dzor, ARM: 20070205
Xocav?nd, AZE: 2347593
FAILED: L?nk?ran, AZE
FAILED: Qubadli, AZE
Susa, AZE: 20070265
FAILED: T?rt?r, AZE
Xocali, AZE: 20070277
FAILED: Z?ngilan, AZE
Badghis, AFG: 2344550
Hirat, AFG: 2344558
Bamyan, AFG: 2344552
FAILED: Balkh, AFG
Faryab, AFG: 2344554
Jawzjan, AFG: 2344576
Ghor, AFG: 2344556
Sari Pul, AFG: 2344578
Farah, AFG: 2344553
Hilmand, AFG: 2344557
Nimroz, AFG: 2344565
Uruzgan, AFG: 2344566
Uruzgan, AFG: 2344566
Kandahar, AFG: 2344569
Zabul, AFG: 2344573
Xinjiang Uygur, CHN: 12578003
FAILED: Ghazni, AFG
FAILED: Khost, AFG
Paktika, AFG: 2344574
Badakhshan, AFG: 2344549
Nuristan, AFG: 24549937
Kunar, AFG: 2344561
FAILED: Kunduz, AFG
Nangarhar, AFG: 2344564
Takhar, AFG: 2344571
Baghlan, AFG: 2344551
Kabul, AFG: 2344559
Kapisa, AFG: 2344560
Parwan, AFG: 2344568
Laghman, AFG: 2344562
Logar, AFG: 2344563
Parwan, AFG: 2344568
Samangan, AFG: 2344577
Wardak, AFG: 2344572
Hainan, CHN: 12578020
FAILED: Qu?ng Ninh, VNM
Bntay Manchey, KHM: 20070093
FAILED: Batdâmbâng, KHM
FAILED: Kaôh Kong, KHM
Pouthisat, KHM: 2344937
Siemrab, KHM: 2344941
Otdar Mean Chey, KHM: 20070095
Krong Pailin, KHM: 20070097
FAILED: Kâmpóng Cham, KHM
FAILED: Kâmpóng Chhnang, KHM
FAILED: Kândal, KHM
FAILED: Kâmpóng Sp, KHM
FAILED: Kâmpóng Thum, KHM
FAILED: Phnom Penh, KHM
FAILED: Prey Vêng, KHM
FAILED: Preah Vihéar, KHM
FAILED: Stng Trêng, KHM
